# Fix print output for fix 2
1.96554007125892e-16 1.96554007125892e-16 1.96554007125892e-16 -0.671415884682522 -0.684163009191255 -0.673612235565291
0.000500000000000088 1.96554007125892e-16 1.96554007125892e-16 -0.587964092559548 -0.622240013532417 -0.611630454959867
0.00100000000000037 1.96554007125892e-16 1.96554007125892e-16 -0.50389753748807 -0.559908104694575 -0.549260846701621
0.00150000000000026 1.96554007125892e-16 1.96554007125892e-16 -0.419975416364674 -0.497732597675331 -0.487099734705629
0.00200000000000015 1.96554007125892e-16 1.96554007125892e-16 -0.336309336230638 -0.435794899067286 -0.425181958344448
0.00250000000000005 1.96554007125892e-16 1.96554007125892e-16 -0.252782828578381 -0.37410182830371 -0.363385093283963
0.00300000000000033 1.96554007125892e-16 1.96554007125892e-16 -0.169429201703943 -0.312585252830172 -0.301800904112391
0.00350000000000022 1.96554007125892e-16 1.96554007125892e-16 -0.0862925085363166 -0.251259382595452 -0.240469855453708
0.00400000000000011 1.96554007125892e-16 1.96554007125892e-16 -0.00325874782909514 -0.190084334278222 -0.179309246257909
0.0045 1.96554007125892e-16 1.96554007125892e-16 0.0795735185786053 -0.12915783197452 -0.118322497641833
0.00500000000000029 1.96554007125892e-16 1.96554007125892e-16 0.162264200986098 -0.0683835876985619 -0.0575420844050589
0.00550000000000018 1.96554007125892e-16 1.96554007125892e-16 0.244741104600908 -0.00783547248511691 0.00303253676504866
0.00600000000000007 1.96554007125892e-16 1.96554007125892e-16 0.326993793331112 0.0525114304625296 0.0633667158741013
0.00650000000000035 1.96554007125892e-16 1.96554007125892e-16 0.409123370537358 0.11266748664565 0.123556700744702
0.00700000000000025 1.96554007125892e-16 1.96554007125892e-16 0.491068603947444 0.172640745771054 0.183527741495287
0.00750000000000014 1.96554007125892e-16 1.96554007125892e-16 0.572833261994787 0.232386176417575 0.243327959309355
0.00800000000000003 1.96554007125892e-16 1.96554007125892e-16 0.65441897881865 0.291942341025912 0.302926887887178
0.00850000000000031 1.96554007125892e-16 1.96554007125892e-16 0.735824194208212 0.351305315470567 0.362324805551702
0.0090000000000002 1.96554007125892e-16 1.96554007125892e-16 0.81706630460631 0.410496068767893 0.421522267845353
0.0095000000000001 1.96554007125892e-16 1.96554007125892e-16 0.898104709913284 0.469472740342195 0.480519330526579
0.0100000000000004 1.96554007125892e-16 1.96554007125892e-16 0.97897796262762 0.528273881249934 0.539316939388974
0.0105000000000003 1.96554007125892e-16 1.96554007125892e-16 1.05966293071322 0.586876177369409 0.597916091907267
0.0110000000000002 1.96554007125892e-16 1.96554007125892e-16 1.14014689609295 0.645280167618254 0.656304555355255
0.0115000000000001 1.96554007125892e-16 1.96554007125892e-16 1.22043611648093 0.703470137113669 0.714505560174944
0.0120000000000003 1.96554007125892e-16 1.96554007125892e-16 1.30058086342197 0.76147606608864 0.772538914296001
0.0125000000000002 1.96554007125892e-16 1.96554007125892e-16 1.38056865628858 0.819312855863041 0.830377370310788
0.0130000000000001 1.96554007125892e-16 1.96554007125892e-16 1.46037226791426 0.876954964713269 0.888021443277192
0.0135 1.96554007125892e-16 1.96554007125892e-16 1.53999196570367 0.934402929925198 0.945471664769922
0.0140000000000003 1.96554007125892e-16 1.96554007125892e-16 1.61942757875561 0.991657286363805 1.00272820393052
0.0145000000000002 1.96554007125892e-16 1.96554007125892e-16 1.69867792327292 1.04871856197312 1.0597902157554
0.0150000000000001 1.96554007125892e-16 1.96554007125892e-16 1.77774268180773 1.10558728445376 1.11665772528043
0.0155000000000004 1.96554007125892e-16 1.96554007125892e-16 1.85659369315157 1.16224828896633 1.17331995434441
0.0160000000000003 1.96554007125892e-16 1.96554007125892e-16 1.93531651003464 1.21874608517479 1.22981462741393
0.0165000000000001 1.96554007125892e-16 1.96554007125892e-16 2.01385799084915 1.2750536270383 1.28611903204821
0.017 1.96554007125892e-16 1.96554007125892e-16 2.09221945785394 1.33117250690294 1.34223369591844
0.0175000000000003 1.96554007125892e-16 1.96554007125892e-16 2.17037918762219 1.38710397060104 1.39813639163856
